Region,Estimated Unemployment Rate (%)
Tripura,28.350357142857142
Haryana,26.283214285714283
Jharkhand,19.48098928571429
Bihar,18.674496428571427
Himachal Pradesh,18.540357142857143
Delhi,16.49535714285714
Jammu & Kashmir,16.18857142857143
Chandigarh,15.991666666666667
Rajasthan,14.058214285714286
Uttar Pradesh,12.551428571428572
