Year,1,2,3,4,5,6,7,8,9,10,11,12
2019,,,,,8.87425925925926,9.303333333333333,9.033888888888889,9.637924528301888,9.051730769230769,9.90090909090909,9.868363636363636,9.497358490566038
2020,9.950754716981132,9.964716981132076,10.700576923076921,22.36783333333334,24.00407254901961,11.903599999999999,,,,,,
